,Date,Title,Numac,Link FR,Link NL,Topics
11,2/13/2020,"SERVICE PUBLIC FEDERAL FINANCES
ADMINISTRATION GENERALE EXPERTISE ET SUPPORT STRATEGIQUES SERVICE REGLEMENTATION
Avis relatif à l'indexation automatique en matière d'impôts sur les revenus. - Exercice d'imposition 2020 - Remplacement, p. 7873.",2020030053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-13&caller=list&numac=2020030053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-13&caller=list&numac=2020030053,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999976364303, 0.0, 0.0, 0.0, 0.0]"
12,2/13/2020,"SERVICE PUBLIC FEDERAL FINANCES
ADMINISTRATION GENERALE EXPERTISE ET SUPPORT STRATEGIQUES SERVICE REGLEMENTATION
Avis relatif à l'indexation automatique en matière d'impôts sur les revenus. - Exercice d'imposition 2021, p. 7891.",2020030054,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-13&caller=list&numac=2020030054,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-13&caller=list&numac=2020030054,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999976364303, 0.0, 0.0, 0.0, 0.0]"
13,2/14/2020,"SERVICE PUBLIC FEDERAL STRATEGIE ET APPUI
Sélection comparative de Collaborateurs fiscalité internationale juniors (m/f/x), (niveau A1), francophones, pour le SPF Finances. - Numéro de sélection : AFG20033, p. 9153.",2020200843,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-14&caller=list&numac=2020200843,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-14&caller=list&numac=2020200843,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999989947477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,2/17/2020,"REGION DE BRUXELLES-CAPITALE
REGION DE BRUXELLES-CAPITALE
11 FEVRIER 2020. - Arrêté ministériel établissant les modèles de la demande du certificat et du certificat visés à l'article 442bis du Code des impôts sur les revenus 1992 tel que d'application au précompte immobilier, p. 9273.",2020040323,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-17&caller=list&numac=2020040323,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-17&caller=list&numac=2020040323,"[0.002425071990226606, 0.0031788804689325567, 0.5450464946694309, 0.002492916682725874, 0.0029913444603351736, 0.002966062851004023, 0.004824345978161461, 0.0014304719342652624, 0.0028076560327552225, 0.005602073464692668, 0.002900829504231538, 0.0025153025579653745, 0.0025980175669980013, 0.003138823782967743, 0.0024035584769307424, 0.002349499108166765, 0.0018385023592743836, 0.002626872575314056, 0.0021963949072094295, 0.0024192765337773376, 0.002268404565540351, 0.0030141009551481425, 0.002118100304673113, 0.0029542642261473203, 0.002177028184887835, 0.002641017680625976, 0.003562339892999316, 0.0018703492686852152, 0.002146590983843993, 0.0016916919232479106, 0.0035919836725652288, 0.0028617836613907526, 0.0014354420205095004, 0.003297510026817071]"
15,2/21/2020,"SERVICE PUBLIC FEDERAL FINANCES
17 FEVRIER 2020. - Arrêté royal modifiant, en ce qui concerne les avantages de toute nature, l'AR/CIR 92 en cas d'un prêt consenti sans intérêt ou à un taux d'intérêt réduit, p. 10241.",2020040391,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-21&caller=list&numac=2020040391,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-21&caller=list&numac=2020040391,"[0.004172241931374874, 0.002757772285936086, 0.0036223634288882235, 0.005022763103594228, 0.46946334714772847, 0.008489083609892234, 0.0035171630355127575, 0.001831122237505933, 0.009581645271735923, 0.0034009851535557406, 0.004908880855419442, 0.004819488383494918, 0.005480452643477263, 0.020396126673475096, 0.003817819939402307, 0.0025991232568626024, 0.002537818350156126, 0.0027189449501737297, 0.003508336931609492, 0.004355850914846073, 0.0038542639906142704, 0.012084916231154484, 0.0026431197685689977, 0.005669882070091285, 0.0030641020110167894, 0.005134916215402333, 0.00450873809366135, 0.002066730444968523, 0.0034284639840121097, 0.002043048373381943, 0.004931664191007345, 0.004479534182395071, 0.0018396596217995311, 0.006190160779664999]"
16,3/3/2020,"SERVICE PUBLIC FEDERAL ECONOMIE, P.M.E., CLASSES MOYENNES ET ENERGIE
22 FEVRIER 2020. - Loi modifiant la loi du 17 mars 2019 relative aux professions d'expert-comptable et de conseiller fiscal en ce qui concerne l'Institut des Conseillers fiscaux et des Experts-Comptables, p. 13034.",2020020427,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-03&caller=list&numac=2020020427,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-03&caller=list&numac=2020020427,"[0.008472263303078261, 0.005420331739753215, 0.007079149082653308, 0.010196387953251397, 0.1501884525381588, 0.017514712612528918, 0.006993010164112799, 0.0036669901881186324, 0.0226932110182444, 0.00668343615498819, 0.009926190104159374, 0.00944087668812949, 0.011426930402943252, 0.03297141293049619, 0.007794192265046668, 0.005207927365566252, 0.005135420396950774, 0.005450243829126932, 0.007092802434024978, 0.008773094283918367, 0.007653721663129619, 0.022350350948678942, 0.005242882470338544, 0.011316122552398257, 0.005940342046489794, 0.010706450329720814, 0.009065144074135688, 0.0041310168752782305, 0.0071216583251554905, 0.004092327228796641, 0.00985400947494521, 0.008997455140205246, 0.0036833135709955184, 0.012654940467600162]"
17,3/3/2020,"SERVICE PUBLIC FEDERAL FINANCES
17 FEVRIER 2020. - Arrêté royal modifiant, en ce qui concerne les avantages de toute nature, l'AR/CIR 92 en cas d'un prêt consenti sans intérêt ou à un taux d'intérêt réduit. - Erratum, p. 13035.",2020040469,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-03&caller=list&numac=2020040469,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-03&caller=list&numac=2020040469,"[1.1109975516904471e-07, 7.207512998377909e-08, 9.391100696951318e-08, 1.3366462782319288e-07, 0.8771015239478278, 2.2764439828287233e-07, 9.177481966832471e-08, 4.838275926358812e-08, 2.6065603609184894e-07, 8.823053628717813e-08, 1.2908898112188596e-07, 1.2673490810212172e-07, 1.4640103634790932e-07, 4.7037944634670076e-07, 1.0184105977780298e-07, 6.82018866109612e-08, 6.705403355858591e-08, 7.132097095736476e-08, 9.301568784551796e-08, 1.156472548427302e-07, 1.0314052874200193e-07, 3.154393033130819e-07, 6.943394150075918e-08, 1.5202404293261822e-07, 8.015321810671576e-08, 1.3699313256346248e-07, 1.1819379015850546e-07, 5.4299834880097973e-08, 9.109473033872324e-08, 5.384449582925845e-08, 1.293086217275646e-07, 1.1891944016504624e-07, 4.8610536622386504e-08, 1.646443344510277e-07]"
18,3/6/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
30 JUILLET 2018. - Loi portant des dispositions diverses en matière de taxe sur la valeur ajoutée. - Traduction allemande, p. 13710.",2020040436,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020040436,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020040436,"[0.9997467433693212, 4.853504566935176e-06, 5.647666848178665e-06, 6.880455399986885e-06, 8.013903133191052e-06, 7.99551138144182e-06, 5.645661021289482e-06, 4.0364694776883595e-06, 7.880061178027085e-06, 5.631784815135817e-06, 6.7790453609814054e-06, 6.565088328167828e-06, 7.877157441646833e-06, 7.6066777950801475e-06, 6.175076796253442e-06, 4.553508558619554e-06, 4.627364891453822e-06, 4.733892362029681e-06, 3.2537160750431816e-05, 1.731320231780149e-05, 8.414789018646244e-06, 7.465442567751491e-06, 6.28801696086756e-06, 8.573381191358663e-06, 5.147049642166164e-06, 1.2260563619656188e-05, 6.84810369082979e-06, 4.163253148895909e-06, 7.362399550468422e-06, 4.4437915692268294e-06, 7.119293854049106e-06, 8.250756642274139e-06, 4.039019258556918e-06, 7.5252572109393e-06]"
19,3/6/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
14 OCTOBRE 2018. - Loi modifiant le Code de la taxe sur la valeur ajoutée en ce qui concerne la taxation optionnelle en matière de location de biens immeubles par nature et modifiant l'arrêté royal n°  20, du 20 juillet 1970, fixant les taux de la taxe sur la valeur ajoutée et déterminant la répartition des biens et des services selon ces taux en ce qui concerne le taux de T.V.A. réduit en matière de location taxée de biens immeubles par nature. - Traduction allemande, p. 13714.",2020040434,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020040434,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020040434,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999986195388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,3/6/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
26 NOVEMBRE 2018. - Loi modifiant le Code de la taxe sur la valeur ajoutée en ce qui concerne l'automatisation du titre exécutoire en matière de taxe sur la valeur ajoutée. - Traduction allemande, p. 13717.",2020040438,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020040438,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020040438,"[0.9999999980658469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,3/6/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
11 FEVRIER 2019. - Loi modifiant le Code de la taxe sur la valeur ajoutée en ce qui concerne le traitement des bons et les régimes particuliers applicables aux services de télécommunication, de radiodiffusion et de télévision ou aux services électroniques fournis à des personnes non assujetties. - Traduction allemande, p. 13721.",2020040437,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020040437,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020040437,"[0.9999999980658469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,3/6/2020,"SERVICE PUBLIC FEDERAL FINANCES
17 MARS 2019. - Arrêté royal modifiant, en ce qui concerne les avantages de toute nature, l'AR/CIR 92 en cas d'un prêt consenti sans intérêt ou à un taux d'intérêt réduit. - Traduction allemande, p. 13763.",2020020270,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020020270,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020020270,"[0.6041006948720573, 0.001235135460698712, 0.0015011935182015516, 0.0018709085116690952, 0.002163971512631328, 0.002169267061222415, 0.0015003650834904164, 0.0009876114281356435, 0.002129540707971765, 0.0014999286996757002, 0.001853111402867252, 0.0017861816022266563, 0.002124060262472875, 0.0020574176571758495, 0.001620692173329776, 0.0011598045965755836, 0.0011534176250242657, 0.0012063877836725485, 0.0320826476766438, 0.006708892969623653, 0.0021692978553133403, 0.0020251147807480176, 0.0015859574459321539, 0.0023075303893489176, 0.0013078687881410808, 0.0036386477063331175, 0.0018635040281137823, 0.0010265062804078009, 0.0018819436634095758, 0.0010853980297826284, 0.0019326270271885098, 0.0022297625119327186, 0.0009880824747996262, 0.002038073028321301]"
23,3/6/2020,"SERVICE PUBLIC FEDERAL FINANCES
23 MARS 2019. - Arrêté royal portant exécution de l'article 21, alinéa 4, du Code des impôts sur les revenus 1992. - Traduction allemande, p. 13765.",2020020271,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-06&caller=list&numac=2020020271,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-06&caller=list&numac=2020020271,"[0.9999999979853443, 1.3344852895735892e-22, 1.556607769051457e-22, 1.9049456956113982e-22, 2.239291535846899e-22, 2.225511172782607e-22, 1.554754651610401e-22, 1.0979995037872316e-22, 2.195914141784517e-22, 1.5494546912891294e-22, 1.8709682364220344e-22, 1.8172972000997609e-22, 2.191156388039423e-22, 2.1207874398783133e-22, 1.703304762395746e-22, 1.249963028018653e-22, 1.2686339146538879e-22, 1.2995177433584332e-22, 8.051909291696644e-22, 4.97517958535589e-22, 2.3458797530823215e-22, 2.077133929444916e-22, 1.7065313109801746e-22, 2.4005602489311204e-22, 1.4196320966692523e-22, 3.4717308536820847e-22, 1.892506523086794e-22, 1.1351812110166559e-22, 2.0085384494724415e-22, 1.2113134691002445e-22, 1.972825974492268e-22, 2.292608550124312e-22, 1.0989415891310043e-22, 2.0924452296290553e-22]"
24,3/10/2020,"SERVICE PUBLIC FEDERAL FINANCES
11 FEVRIER 2019. - Loi portant des dispositions fiscales, de lutte contre la fraude, financières et diverses. - Erratum, p. 14639.",2020020495,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-03-10&caller=list&numac=2020020495,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-03-10&caller=list&numac=2020020495,"[0.2269858578633332, 0.0048168495475303975, 0.005974788539141629, 0.007612842243492077, 0.009388142156464687, 0.009409316545125846, 0.006005116494567092, 0.003638735118456765, 0.00919204120130422, 0.00591195853862395, 0.007583432237965981, 0.0071612324960288005, 0.008974471400477418, 0.008724912419882911, 0.006564846849103396, 0.004537988073342721, 0.004476051058218523, 0.0047436688975920445, 0.0746302251089216, 0.027233315782980952, 0.008577220204743071, 0.00854831575792171, 0.005620115741607599, 0.010238926679707492, 0.005045118392656941, 0.01854825059562689, 0.007690912412544003, 0.003882249356767233, 0.0074008323304925894, 0.004051077998406748, 0.008070699795276371, 0.009437429719831284, 0.0036444520844784705, 0.008755424529700141]"
